2011-12-12 18:38:18 Warning: Warning (2): fopen(/Users/kunleekunkonye/Documents/webcomm/MAMP/calendar/app/webroot/img/79d9a05a3c.jpeg) [<a href='http://php.net/function.fopen'>function.fopen</a>]: failed to open stream: No such file or directory in [APP/models/event.php, line 699]
2011-12-12 18:38:21 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 446]
2011-12-12 18:38:21 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 461]
2011-12-12 19:51:33 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 446]
2011-12-12 19:51:33 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 461]
2011-12-13 01:18:20 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 446]
2011-12-13 01:18:20 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 461]
2011-12-13 01:20:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 446]
2011-12-13 01:20:29 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 461]
2012-01-03 19:13:18 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 449]
2012-01-03 19:13:18 Warning: Warning (2): getimagesize() [<a href='http://php.net/function.getimagesize'>function.getimagesize</a>]: Filename cannot be empty in [APP/models/event.php, line 464]
2012-01-03 21:40:23 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'fblike' cannot be null</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 527]
2012-01-03 21:42:05 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'fblike' cannot be null</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 527]
2012-01-03 21:42:55 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'fblike' cannot be null</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 527]
2012-01-03 21:48:02 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1048: Column 'fblike' cannot be null</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 527]
